Part ID,Length (mm),Width (mm),Quantity,Material,Grain Sensitive
HY2540189697T001,2048.0,578.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T002,2048.0,578.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T003,1902.0,578.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T004,1902.0,578.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T005,1926.0,955.0,1,2614 SF-8HDHMR-2614 SF,0
HY2540189697T006,1926.0,955.0,1,2614 SF-8HDHMR-2614 SF,0
HY2540189697T007,1912.0,578.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T008,1936.0,96.0,1,276 SUD-18HDHMR-2614 SF,0
HY2540189697T009,1902.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T010,1944.0,479.0,1,276 SUD-18HDHMR-2614 SF,0
HY2540189697T011,1944.0,479.0,1,276 SUD-18HDHMR-2614 SF,0
HY2540189697T012,1944.0,479.0,1,276 SUD-18HDHMR-2614 SF,0
HY2540189697T013,1944.0,479.0,1,276 SUD-18HDHMR-2614 SF,0
HY2540189697T014,941.0,473.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T015,794.0,473.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T016,458.5,473.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T017,458.5,473.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T018,941.0,473.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T019,794.0,473.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T020,148.0,348.5,1,2614 SF-18MR-2614 SF,0
HY2540189697T021,376.0,362.5,1,2614 SF-8HDHMR-2614 SF,0
HY2540189697T022,196.0,408.5,1,2614 SF-18MR-2614 SF,0
HY2540189697T023,198.0,48.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T024,148.0,398.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T025,148.0,398.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T026,123.0,348.5,1,2614 SF-18MR-2614 SF,0
HY2540189697T027,198.0,455.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T028,148.0,348.5,1,2614 SF-18MR-2614 SF,0
HY2540189697T029,376.0,362.5,1,2614 SF-8HDHMR-2614 SF,0
HY2540189697T030,196.0,408.5,1,2614 SF-18MR-2614 SF,0
HY2540189697T031,148.0,398.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T032,198.0,48.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T033,148.0,398.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T034,123.0,348.5,1,2614 SF-18MR-2614 SF,0
HY2540189697T035,198.0,455.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T036,458.5,473.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T037,458.5,473.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T038,1098.0,473.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T039,458.5,473.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T040,458.5,473.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T041,2048.0,578.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T042,2048.0,578.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T043,962.0,578.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T044,962.0,578.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T045,1926.0,976.0,1,2614 SF-8HDHMR-2614 SF,0
HY2540189697T046,996.0,96.0,1,276 SUD-18HDHMR-2614 SF,0
HY2540189697T047,962.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T048,1944.0,494.0,1,276 SUD-18HDHMR-2614 SF,0
HY2540189697T049,1944.0,494.0,1,276 SUD-18HDHMR-2614 SF,0
HY2540189697T050,962.0,473.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T051,578.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T052,578.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T053,2396.0,96.0,1,276 SUD-18HDHMR-2614 SF,0
HY2540189697T054,578.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T055,578.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T056,2396.0,96.0,1,276 SUD-18HDHMR-2614 SF,0
HY2540189697T057,754.0,94.0,1,276 SUD-18MDF-2614 SF,0
HY2540189697T058,1986.0,96.0,1,276 SUD-18MDF-2614 SF,0
HY2540189697T059,2398.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T060,2398.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T061,2398.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T062,2398.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T063,754.0,479.0,1,276 SUD-18MDF-2614 SF,0
HY2540189697T064,754.0,479.0,1,276 SUD-18MDF-2614 SF,0
HY2540189697T065,754.0,479.0,1,276 SUD-18MDF-2614 SF,0
HY2540189697T066,754.0,479.0,1,276 SUD-18MDF-2614 SF,0
HY2540189697T067,754.0,94.0,1,276 SUD-18MDF-2614 SF,0
HY2540189697T068,96.0,1046.0,1,276 SUD-18MDF-2614 SF,0
HY2540189697T069,2398.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T070,2398.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T071,2398.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T072,754.0,494.0,1,276 SUD-18MDF-2614 SF,0
HY2540189697T073,754.0,494.0,1,276 SUD-18MDF-2614 SF,0
HY2540189697T074,2046.0,446.0,1,238 SUD-18MDF-2614 SF,0
HY2540189697T075,2048.0,448.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T076,1662.0,448.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T077,1662.0,448.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T078,1926.0,1118.0,1,2614 SF-8HDHMR-2614 SF,0
HY2540189697T079,1926.0,552.0,1,2614 SF-8HDHMR-2614 SF,0
HY2540189697T080,1912.0,448.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T081,1696.0,96.0,1,238 SUD-18HDHMR-2614 SF,0
HY2540189697T082,1662.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T083,1944.0,560.0,1,238 SUD-18HDHMR-2614 SF,0
HY2540189697T084,1944.0,561.0,1,238 SUD-18HDHMR-2614 SF,0
HY2540189697T085,1944.0,561.0,1,238 SUD-18HDHMR-2614 SF,0
HY2540189697T086,1104.0,343.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T087,793.0,343.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T088,540.0,343.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T089,540.0,343.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T090,536.0,343.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T091,538.0,343.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T092,536.0,343.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T093,536.0,343.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T094,448.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T095,448.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T096,2396.0,96.0,1,238 SUD-18HDHMR-2614 SF,0
HY2540189697T097,786.0,446.0,1,238 SUD-18MDF-2614 SF,0
HY2540189697T098,714.0,94.0,1,238 SUD-18MDF-2614 SF,0
HY2540189697T099,1746.0,96.0,1,238 SUD-18MDF-2614 SF,0
HY2540189697T100,2398.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T101,2398.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T102,2398.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T103,2398.0,98.0,1,2614 SF-18MR-2614 SF,0
